maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.0393,crazyflie6,0.0000
20260129_010825,0.0444,crazyflie5,0.0001
20260129_010825,0.0447,crazyflie7,0.0000
20260129_010825,0.0449,crazyflie8,0.0000
20260129_010825,0.0522,crazyflie2,0.0007
20260129_010825,0.0524,crazyflie10,0.0001
20260129_010825,0.0530,crazyflie,0.0000
20260129_010825,0.0532,crazyflie3,0.0000
20260129_010825,0.0541,crazyflie9,0.0016
20260129_010825,0.0563,crazyflie4,0.0000
20260129_010825,0.0613,crazyflie6,0.0000
20260129_010825,0.0671,crazyflie5,0.0001
20260129_010825,0.0673,crazyflie7,0.0011
20260129_010825,0.0675,crazyflie8,0.0000
20260129_010825,0.0752,crazyflie,0.0114
20260129_010825,0.0755,crazyflie2,0.0283
20260129_010825,0.0757,crazyflie3,0.0070
20260129_010825,0.0759,crazyflie10,0.0002
20260129_010825,0.0779,crazyflie9,0.0328
20260129_010825,0.0799,crazyflie4,0.0183
20260129_010825,0.0841,crazyflie6,0.0114
20260129_010825,0.0899,crazyflie5,0.0001
20260129_010825,0.0901,crazyflie7,0.0305
20260129_010825,0.0902,crazyflie8,0.0037
20260129_010825,0.0971,crazyflie,0.0537
20260129_010825,0.0974,crazyflie2,0.0762
20260129_010825,0.0976,crazyflie3,0.0465
20260129_010825,0.0977,crazyflie10,0.0001
20260129_010825,0.0999,crazyflie9,0.0815
20260129_010825,0.1017,crazyflie4,0.0636
20260129_010825,0.1063,crazyflie6,0.0537
20260129_010825,0.1117,crazyflie8,0.0394
20260129_010825,0.1123,crazyflie5,0.0001
20260129_010825,0.1126,crazyflie7,0.0788
20260129_010825,0.1195,crazyflie,0.1047
20260129_010825,0.1197,crazyflie2,0.1284
20260129_010825,0.1198,crazyflie3,0.0969
20260129_010825,0.1199,crazyflie10,0.0148
20260129_010825,0.1220,crazyflie9,0.1338
20260129_010825,0.1246,crazyflie4,0.1152
20260129_010825,0.1292,crazyflie6,0.1047
20260129_010825,0.1350,crazyflie5,0.0001
20260129_010825,0.1354,crazyflie7,0.1310
20260129_010825,0.1356,crazyflie8,0.0891
20260129_010825,0.1428,crazyflie,0.1575
20260129_010825,0.1430,crazyflie2,0.1814
20260129_010825,0.1432,crazyflie10,0.0587
20260129_010825,0.1437,crazyflie3,0.1496
20260129_010825,0.1447,crazyflie9,0.1869
20260129_010825,0.1462,crazyflie4,0.1681
20260129_010825,0.1513,crazyflie6,0.1575
20260129_010825,0.1564,crazyflie5,0.0072
20260129_010825,0.1566,crazyflie7,0.1841
20260129_010825,0.1568,crazyflie8,0.1416
20260129_010825,0.1638,crazyflie,0.2106
20260129_010825,0.1640,crazyflie2,0.2342
20260129_010825,0.1641,crazyflie3,0.2027
20260129_010825,0.1645,crazyflie10,0.1101
20260129_010825,0.1660,crazyflie9,0.2394
20260129_010825,0.1684,crazyflie4,0.2212
20260129_010825,0.1723,crazyflie6,0.2106
20260129_010825,0.1778,crazyflie5,0.0466
20260129_010825,0.1781,crazyflie8,0.1947
20260129_010825,0.1785,crazyflie7,0.2367
20260129_010825,0.1855,crazyflie,0.2618
20260129_010825,0.1858,crazyflie2,0.2832
20260129_010825,0.1859,crazyflie3,0.2544
20260129_010825,0.1864,crazyflie10,0.1630
20260129_010825,0.1877,crazyflie9,0.2879
20260129_010825,0.1904,crazyflie4,0.2715
20260129_010825,0.1942,crazyflie6,0.2618
20260129_010825,0.1997,crazyflie5,0.0970
20260129_010825,0.2001,crazyflie7,0.2855
20260129_010825,0.2008,crazyflie8,0.2469
20260129_010825,0.2076,crazyflie3,0.3011
20260129_010825,0.2077,crazyflie10,0.2160
20260129_010825,0.2080,crazyflie,0.3076
20260129_010825,0.2081,crazyflie2,0.3259
20260129_010825,0.2103,crazyflie9,0.3299
20260129_010825,0.2117,crazyflie4,0.3159
20260129_010825,0.2166,crazyflie6,0.3076
20260129_010825,0.2216,crazyflie5,0.1497
20260129_010825,0.2218,crazyflie7,0.3279
20260129_010825,0.2219,crazyflie8,0.2945
20260129_010825,0.2294,crazyflie,0.3465
20260129_010825,0.2298,crazyflie3,0.3411
20260129_010825,0.2304,crazyflie2,0.3618
20260129_010825,0.2305,crazyflie10,0.2668
20260129_010825,0.2313,crazyflie9,0.3651
20260129_010825,0.2332,crazyflie4,0.3534
20260129_010825,0.2375,crazyflie6,0.3465
20260129_010825,0.2429,crazyflie5,0.2028
20260129_010825,0.2431,crazyflie7,0.3634
20260129_010825,0.2433,crazyflie8,0.3355
20260129_010825,0.2504,crazyflie,0.3786
20260129_010825,0.2506,crazyflie2,0.3911
20260129_010825,0.2507,crazyflie3,0.3742
20260129_010825,0.2509,crazyflie10,0.3119
20260129_010825,0.2534,crazyflie9,0.3937
20260129_010825,0.2554,crazyflie4,0.3843
20260129_010825,0.2599,crazyflie6,0.3786
20260129_010825,0.2653,crazyflie5,0.2546
20260129_010825,0.2655,crazyflie7,0.3924
20260129_010825,0.2657,crazyflie8,0.3697
20260129_010825,0.2727,crazyflie,0.4047
20260129_010825,0.2729,crazyflie2,0.4146
20260129_010825,0.2730,crazyflie3,0.4011
20260129_010825,0.2732,crazyflie10,0.3501
20260129_010825,0.2746,crazyflie9,0.4168
20260129_010825,0.2767,crazyflie4,0.4092
